item_id,skill_id,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,source
SFLA_APP_001,KC01,easy,Which expression is logically equivalent to P → Q?,P ∨ Q,P ∧ Q,¬P ∨ Q,P ∨ ¬Q,C,An implication P → Q is equivalent to ¬P ∨ Q.,Original prototype practice question
SFLA_APP_002,KC01,medium,"Using De Morgan's law, what is the negation of P ∧ Q?",¬P ∧ ¬Q,¬P ∨ ¬Q,P ∨ Q,P → Q,B,The negation of a conjunction is the disjunction of the individual negations.,Original prototype practice question
SFLA_APP_003,KC01,hard,In which case is the implication P → Q false?,P is true and Q is true,P is true and Q is false,P is false and Q is true,P is false and Q is false,B,An implication is false only when its antecedent is true and its consequent is false.,Original prototype practice question
SFLA_APP_004,KC02,easy,What is the negation of ∀x P(x)?,∀x ¬P(x),∃x ¬P(x),∃x P(x),¬∃x ¬P(x),B,The negation states that there is at least one x for which P(x) is false.,Original prototype practice question
SFLA_APP_005,KC02,medium,What is the negation of ∃x P(x)?,∀x ¬P(x),∃x ¬P(x),∀x P(x),¬∀x ¬P(x),A,"If no x satisfies P, then P is false for every x.",Original prototype practice question
SFLA_APP_006,KC02,hard,Which expression means 'every learner attempted at least one question'?,"∃l ∀q Attempted(l, q)","∀l ∃q Attempted(l, q)","∀q ∃l Attempted(l, q)","∃q ∀l Attempted(l, q)",B,"For every learner l, there must exist at least one question q that the learner attempted.",Original prototype practice question
SFLA_APP_007,KC03,easy,Which symbol means that an object is an element of a set?,⊆,∈,∩,∪,B,The symbol ∈ denotes membership of a set.,Original prototype practice question
SFLA_APP_008,KC03,medium,"Let A = {1, {2}, 3}. Which statement is true?",2 ∈ A,{2} ∈ A,{1} ∈ A,{2} ⊆ A,B,The set {2} is itself listed as an element of A. The number 2 is not listed separately.,Original prototype practice question
SFLA_APP_009,KC03,hard,Which set is described by {x ∈ ℤ | x² < 5}?,"{−1, 0, 1}","{−2, −1, 0, 1, 2}","{0, 1, 2}","{−4, −1, 0, 1, 4}",B,"The integers whose squares are less than 5 are −2, −1, 0, 1 and 2.",Original prototype practice question
SFLA_APP_010,KC04,easy,"If A = {1, 2, 3} and B = {3, 4, 5}, what is A ∩ B?","{1, 2}",{3},"{4, 5}","{1, 2, 3, 4, 5}",B,The intersection contains elements found in both sets.,Original prototype practice question
SFLA_APP_011,KC04,medium,"If A = {1, 2, 3, 4} and B = {3, 4, 5}, what is A \ B?","{1, 2}","{3, 4}",{5},"{1, 2, 5}",A,A \ B contains elements that belong to A but not to B.,Original prototype practice question
SFLA_APP_012,KC04,hard,Which expression is equivalent to (A ∪ B)ᶜ?,Aᶜ ∪ Bᶜ,Aᶜ ∩ Bᶜ,A ∩ B,A ∪ B,B,De Morgan's law gives (A ∪ B)ᶜ = Aᶜ ∩ Bᶜ.,Original prototype practice question
SFLA_APP_013,KC05,easy,How many elements are in the power set of a set containing three elements?,3,6,8,9,C,"A set with n elements has 2ⁿ subsets, so 2³ = 8.",Original prototype practice question
SFLA_APP_014,KC05,medium,"If |A| = 2 and |B| = 3, what is |A × B|?",2,3,5,6,D,The Cartesian product contains |A| × |B| ordered pairs.,Original prototype practice question
SFLA_APP_015,KC05,hard,"Which is the power set of {a, b}?","{a, b}","{∅, {a}, {b}, {a, b}}","{{a}, {b}}","{∅, a, b}",B,"The power set contains every subset: the empty set, both singleton sets and the complete set.",Original prototype practice question
SFLA_APP_016,KC06,easy,What must normally be shown to prove that A = B?,Only A ⊆ B,Only B ⊆ A,A ⊆ B and B ⊆ A,A and B use the same notation,C,Set equality can be proved by inclusion in both directions.,Original prototype practice question
SFLA_APP_017,KC06,medium,What is an appropriate first step when proving A ⊆ B?,Choose an arbitrary x ∈ A,Assume that A = B,Choose an x that is not in A,Prove that B is empty,A,Select an arbitrary element of A and demonstrate that it must also belong to B.,Original prototype practice question
SFLA_APP_018,KC06,hard,Which statement supports the proof of A ∩ (B ∪ C) = (A ∩ B) ∪ (A ∩ C)?,x ∈ A or x ∈ B and x ∈ C,x ∈ A and (x ∈ B or x ∈ C),x ∉ A and x ∈ B,x ∈ A only,B,Distributing 'and' over 'or' gives (x ∈ A and x ∈ B) or (x ∈ A and x ∈ C).,Original prototype practice question
